epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.956,0.7486,1.24894,1.16082,0.76952,0.80003,0.84191,0.65824,0.76737,0.7468,1.09893,0.00332528,0.00332528,0.00332528
2,378.55,0.84853,1.0445,1.23507,0.64613,0.57545,0.6111,0.42151,1.03633,1.2556,1.35782,0.00652677,0.00652677,0.00652677
3,565.68,1.028,1.36243,1.37048,0.61486,0.50624,0.55503,0.36414,1.17514,1.4635,1.49844,0.00959627,0.00959627,0.00959627
4,751.273,1.07555,1.45655,1.41626,0.64294,0.56286,0.60436,0.40408,1.11145,1.31217,1.43918,0.009406,0.009406,0.009406
5,936.624,1.05086,1.38904,1.39743,0.67608,0.61755,0.6617,0.45966,1.05482,1.18493,1.38642,0.009208,0.009208,0.009208
6,1122.31,1.01285,1.29857,1.36986,0.71482,0.6459,0.70953,0.50276,1.02326,1.07259,1.35385,0.00901,0.00901,0.00901
7,1306.79,0.97728,1.21185,1.3391,0.75331,0.67716,0.74753,0.54241,0.96916,0.95353,1.30255,0.008812,0.008812,0.008812
8,1491.51,0.95039,1.16266,1.32428,0.75137,0.67507,0.75258,0.54422,0.97937,0.95787,1.31166,0.008614,0.008614,0.008614
9,1676.29,0.92873,1.11343,1.30732,0.76313,0.70579,0.77273,0.56936,0.93837,0.905,1.27821,0.008416,0.008416,0.008416
10,1861.53,0.91019,1.0706,1.29368,0.78148,0.69883,0.77978,0.57948,0.93133,0.88899,1.27475,0.008218,0.008218,0.008218
11,2046.74,0.89757,1.03172,1.2816,0.77464,0.72061,0.79348,0.59696,0.89969,0.8465,1.23996,0.00802,0.00802,0.00802
12,2231.69,0.87967,0.99765,1.26884,0.788,0.73871,0.81137,0.61281,0.8905,0.81357,1.22933,0.007822,0.007822,0.007822
13,2416.81,0.86258,0.96634,1.25868,0.80367,0.73767,0.82067,0.61855,0.88708,0.78949,1.2295,0.007624,0.007624,0.007624
14,2601.77,0.84705,0.93907,1.25061,0.79482,0.74108,0.81359,0.61823,0.89411,0.79634,1.24286,0.007426,0.007426,0.007426
15,2786.98,0.84338,0.92144,1.24237,0.79774,0.75981,0.83266,0.64134,0.86737,0.76043,1.21922,0.007228,0.007228,0.007228
16,2971.78,0.83141,0.89845,1.23205,0.80905,0.76514,0.84033,0.6464,0.85738,0.73911,1.19693,0.00703,0.00703,0.00703
17,3157.03,0.82164,0.86772,1.22632,0.81254,0.76895,0.83961,0.65201,0.83999,0.72693,1.1886,0.006832,0.006832,0.006832
18,3341.86,0.80625,0.84505,1.21048,0.79896,0.7801,0.84199,0.6545,0.83352,0.71745,1.1868,0.006634,0.006634,0.006634
19,3527,0.8017,0.83407,1.21021,0.81329,0.7717,0.84616,0.659,0.84408,0.70447,1.19329,0.006436,0.006436,0.006436
20,3712.02,0.78583,0.81638,1.19512,0.816,0.78358,0.85167,0.66482,0.83314,0.69552,1.17657,0.006238,0.006238,0.006238
21,3896.94,0.7823,0.79813,1.19347,0.82328,0.78613,0.85763,0.67022,0.83213,0.6872,1.18572,0.00604,0.00604,0.00604
22,4081.64,0.76692,0.78067,1.1856,0.83198,0.78577,0.86082,0.67608,0.82167,0.66627,1.17863,0.005842,0.005842,0.005842
23,4266.61,0.76008,0.76256,1.18156,0.82272,0.79388,0.86254,0.67716,0.82495,0.65849,1.18182,0.005644,0.005644,0.005644
